Official Name of Satellite,Country/Organization of UN Registry,Longitude,Latitude,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Launch Year
MUOS-1,USA,,,DoD/US Navy,USA,Military,Communications,Meteorology,GEO,Sun-Synchronous,-176.96,35569,36006,0.00518,3.73,1436.1,6804,12,2700,10-Dec,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 5,2012-009A,38093,2012
MUOS-2,USA,,,DoD/US Navy,USA,Military,Communications,Meteorology,GEO,Sun-Synchronous,-100.1,35550,36023,0.00561,4.11,1436.1,6804,15,2700,10-Dec,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 5,2013-036A,39206,2013
MUOS-3,USA,,,DoD/US Navy,USA,Military,Communications,Meteorology,GEO,Sun-Synchronous,-15.48,35576,35998,0.00501,4.57,1436.1,6804,3812,2700,7,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 5,2015-002A,40374,2015
MUOS-4,USA,,,DoD/US Navy,USA,Military,Communications,Meteorology,GEO,Sun-Synchronous,74.8,35576,35997,0.00499,4.8,1436.1,6804,3812,2700,7,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 5,2015-044A,40887,2015
MUOS-5,USA,,,DoD/US Navy,USA,Military,Communications,Meteorology,GEO,Sun-Synchronous,139,35576,35998,0.00501,4.5,1436.1,6804,3812,2700,7,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 5,2016-041A,41622,2016
NATO-4B,USA,,,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),United Kingdom,Military,Communications,Meteorology,GEO,Sun-Synchronous,-35.05,35775,35795,0.000237,7.33,1436.04,1430,660,1200,7,Matra Marconi,France,Cape Canaveral,Delta 2,1993-076A,22921,1993
USA 207,USA,,,Unknown US agency,USA,Military,Communications,Optical Imaging,GEO,Non-Polar Inclined,47.5,35786,35787,1.19E-05,0.03,1436.12,4100,1740,6000,15,Lockheed Martin,USA,Cape Canaveral,Atlas 5,2009-047A,35815,2009
USA 225,USA,,,National Reconnaissance Office (NRO),USA,Military,Technology Development,Amateur Radio,LEO,Polar,0,1199,1202,0.000198,90,109.42,350,150,86,5,National Reconnaissance Laboratory,USA,Vandenberg AFB,Minotaur 4,2011-006A,37364,2011
USA 230,USA,,,US Air Force,USA,Military,Earth Observation,Optical Imaging,GEO,Sun-Synchronous,-96.84,35778,35795,0.000202,6.45,1436.11,4500,35,906,12,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2011-019A,37481,2011
USA 241,USA,,,US Air Force,USA,Military,Earth Observation,Optical Imaging,GEO,Sun-Synchronous,130,35770,35790,0.000237,6.45,1436.11,4500,35,906,12,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2013-011A,39120,2013
USA 216,USA,,,Strategic Space Command/Space Surveillance Network,USA,Military,Space Observation,Optical Imaging,LEO,Sun-Synchronous,0,631,634,0.000214,98.02,97.36,1031,35,906,12,Boeing/Ball Aerospace,USA,Vandenberg AFB,Minotaur 4,2010-048A,37168,2010
USA 181,USA,,,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,1017,1203,0.0124,63.4,107.4,"5,000+",35,906,12,Lockheed Martin,USA,Cape Canaveral,Atlas 3B,2005-004A,28537,2005
USA 181,USA,,,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,1016,1203,0.0125,63.4,107.4,"5,000+",35,906,12,Lockheed Martin,USA,Cape Canaveral,Atlas 3B,2005-004B,28541,2005
USA 194,USA,,,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,1015,1200,0.0124,63.4,107.4,"5,000+",35,906,12,Lockheed Martin,USA,Cape Canaveral,Atlas 5,2007-027A,31701,2007
USA 179,USA,,,National Reconnaissance Office (NRO)/US Air Force,USA,Military,Communications,Optical Imaging,Elliptical,Molniya,0,500,39850,0.741,63.4,717.7,3100,1650,1500,07-Oct,Hughes,USA,Cape Canaveral,Atlas 2AS,2004-034A,28384,2004
USA 198,USA,,,National Reconnaissance Office (NRO)/US Air Force,USA,Military,Communications,Optical Imaging,Elliptical,Molniya,0,400,39966,0.745,60,718,3100,1650,1500,07-Oct,National Reconnaissance Laboratory,USA,Cape Canaveral,Atlas 5,2007-060A,32378,2007
USA 227,USA,,,National Reconnaissance Office (NRO)/US Air Force,USA,Military,Communications,Optical Imaging,GEO,Molniya,-30.4,35770,35803,0.000391,4.92,14.36,3100,1650,1500,08-Oct,National Reconnaissance Laboratory,USA,Cape Canaveral,Delta 4,2011-011A,37377,2011
USA 236,USA,,,National Reconnaissance Office (NRO)/US Air Force,USA,Military,Communications,Optical Imaging,GEO,Molniya,130,35771,35805,0.000403,4.91,23.94,3100,1650,1500,09-Oct,National Reconnaissance Laboratory,USA,Cape Canaveral,Atlas 5,2012-033A,38466,2012
USA 252,USA,,,National Reconnaissance Office (NRO)/US Air Force,USA,Military,Communications,Optical Imaging,GEO,Molniya,0,35500,35500,0,4,23,3100,1650,1500,10-Oct,National Reconnaissance Laboratory,USA,Cape Canaveral,Atlas 5,2014-027A,39751,2014
USA 119,USA,,,National Reconnaissance Office (NRO),USA,Military,Communications,Earth Science,Elliptical,Molniya,0,1200,11600,0.407,63.4,240,5360,3200,6000,15,National Reconnaissance Laboratory,USA,Vandenberg AFB,Titan IV,1996-029A,23893,1996
SMDC-ONE 1.1,USA,,,US Army Space and Missile Defense Command,USA,Military,Technology Development,Earth Science,LEO,Non-Polar Inclined,0,495,791,0.0211,64.6,97.5,5,3200,6000,3,Miltec,USA,Vandenberg AFB,Atlas 5,2012-048J,38766,2012
SMDC-ONE 1.2,USA,,,US Army Space and Missile Defense Command,USA,Military,Technology Development,Earth Science,LEO,Non-Polar Inclined,0,483,789,0.0218,64.6,97.4,3,3200,6000,3,Miltec,USA,Vandenberg AFB,Atlas 5,2012-048B,38759,2012
SMDC-ONE 2.3,USA,,,US Army Space and Missile Defense Command,USA,Military,Technology Development,Earth Science,LEO,Polar,0,443,886,0.0315,120.3,98,5,3200,6000,3,Miltec,USA,Vandenberg AFB,Atlas 5,2013-072N,39474,2013
SMDC-ONE 2.4,USA,,,US Army Space and Missile Defense Command,USA,Military,Technology Development,Earth Science,LEO,Polar,0,443,886,0.0315,120.3,98,5,3200,6000,3,Miltec,USA,Vandenberg AFB,Atlas 5,2013-072L,39472,2013
SNaP-3 Alice,USA,,,US Army Space and Missile Defense Command,USA,Military,Technology Development,Earth Science,LEO,Non-Polar Inclined,0,495,801,0.0218,64.78,97.68,5,435,1065,3,US Army Space and Missile Defense Command,USA,Cape Canaveral,Atlas 5,2015-058G,40970,2015
SNaP-3-1,USA,,,US Southern Command,USA,Military,Communications,Earth Science,LEO,Polar,0,443,886,0.0315,120.3,98,5,467,453,6,Naval Post-Graduate School,USA,Vandenberg AFB,Atlas 5,2013-072G,39468,2013
COSMO-Skymed 1,Italy,-95.712891,37.09024,Italian Space Agency/Ministry of Defense,Italy,Military/Civil,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,622,623,7.15E-05,97.9,97.2,1700,3700,3600,5,Thales Alenia Space,France/Italy,Vandenberg AFB,Delta 7000,2007-023A,31598,2007
Falconsat-3,USA,-95.712891,37.09024,US Air Force Academy,USA,Military/Civil,Technology Development,Automatic Identification System (AIS),LEO,Non-Polar Inclined,0,538,540,0.000145,35.4,95.4,46,1100,18000,15,US Air Force Academy,USA,Cape Canaveral,Atlas 5,2007-006E,30776,2007
Optus and Defence C1,Australia,133.775131,-25.274399,Optus Communications (Parent: Singapore Telecom)/Australian Ministry of Defence,Australia,Military/Commercial,Communications,Optical Imaging,GEO,Sun-Synchronous,156.06,35773,35799,0.000308,0.02,1436.08,4800,2000,10600,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5G,2003-028B,27831,2003
Brazilsat B-2,Brazil,-95.712891,37.09024,Star One (SES [Société Européenne des Satellites (SES)]),Brazil,Military/Commercial,Communications,Optical Imaging,GEO,Sun-Synchronous,-68,35776,35797,0.000249,0.84,1436.11,1780,"1,050 (BOL)","1,800 (BOL)",12,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44LP,1995-016A,23536,1995
Amos 2,Israel,-95.712891,37.09024,Israel Aircraft Industries,Israel,Military/Commercial,Communications,Optical Imaging,GEO,Sun-Synchronous,-3.98,35778,35794,0.00019,0.05,1436.08,1400,646,"1,900",12,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Soyuz-Fregat ,2003-059A,28132,2003
Amos 3,Israel,-95.712891,37.09024,Space-Communication Ltd,Israel,Military/Commercial,Communications,Optical Imaging,GEO,Sun-Synchronous,-3.99,35783,35789,7.12E-05,0.04,1436.1,1400,646,"1,900",12,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB,2008-022A,32794,2008
Amos 4,Israel,-95.712891,37.09024,Space-Communication Ltd,Israel,Military/Commercial,Communications,Optical Imaging,GEO,Sun-Synchronous,65,35633,35796,0.00194,0.01,1432,1400,646,"1,900",12,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 2SB,2013-045A,39237,2013
EROS B-1,Israel,127.766922,35.907757,"ImageSat International, NV/Ministry of Defense",Israel,Military/Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,508,514,0.000436,97.4,94.8,350,2832,800,10,Israel Aircraft Industries (IAI),Israel,Svobodny Cosmodrome,Start 1,2006-014A,29079,2006
Sicral 1B,Italy,12.56738,41.871941,Italian Defense Ministry/Telespazio,Italy,Military/Commercial,Communications,Earth Science,GEO,Sun-Synchronous,11.8,35788,35802,0.000166,0.04,1436.52,3038,543,3300,10-Dec,Thales Alenia Space Italia,Italy,Sea Launch (Odyssey),Zenit 3SL,2009-020A,34810,2009
Cosmos 2471,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19116,19146,0.000588,64.77,675.78,935,350,1700,10,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2,2011-009A,37372,2011
Cosmos 2501,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19103,19178,0.00147,64.83,676.15,935,350,1700,10,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2014-075A,40315,2014
Cosmos 2419,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19118,19125,0.000137,64.8,675.39,1480,350,1600,7,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton K,2005-050A,28915,2005
Cosmos 2424,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19130,19130,0,64.8,675.75,1480,350,1600,7,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton K,2006-062C,29672,2006
Cosmos 2425,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19130,19130,0,64.8,675.75,1480,350,1600,7,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton K,2006-062A,29670,2006
Cosmos 2426,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19130,19130,0,64.8,675.75,1480,350,1600,7,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton K,2006-062B,29671,2006
Cosmos 2432,Russia,-3.435973,55.378052,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19094,19171,0.00151,64.9,675.83,1480,350,1600,7,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton K,2007-052B,32276,2007
Cosmos 2433,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19124,19133,0.000176,64.9,675.67,1480,350,1600,7,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton K,2007-052A,32275,2007
Cosmos 2434,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19142,19378,0.0046,64.66,680.91,1480,350,1600,7,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2007-065A,32393,2007
Cosmos 2436,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19147,19365,0.00425,64.67,680.75,1480,350,1600,7,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2007-065C,32395,2007
Cosmos 2443,Russia,18.643501,60.128162,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19134,19145,0.000216,64.79,676.1,1480,350,1600,7,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2008-046B,33379,2008
Cosmos 2456,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19132,19419,0.0056,64.81,681.53,1415,350,1000,7,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2009-070A,36111,2009
Cosmos 2459,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19119,19146,0.000529,64.76,675.85,1415,350,1000,7,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2010-007A,36400,2010
Cosmos 2460,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19131,19133,3.92E-05,64.77,675.81,1415,350,1000,7,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2010-007C,36402,2010
Cosmos 2457,Russia,-3.435973,55.378052,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,18864,19130,0.00524,64.78,670.47,1415,350,1000,7,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2009-070B,36112,2009
Cosmos 2458,Russia,-3.435973,55.378052,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19098,19129,0.000608,64.8,675.08,1415,350,1000,7,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2009-070C,36113,2009
Cosmos 2461,Russia,-3.435973,55.378052,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19128,19135,0.000137,64.77,675.81,1415,350,1000,7,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2010-007B,36401,2010
Cosmos 2464,Russia,-3.435973,55.378052,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,18909,19123,0.00421,64.82,671.2,1415,350,1000,7,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2010-041C,37139,2010
Cosmos 2465,Russia,-3.435973,55.378052,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19116,19380,0.00515,64.84,680.43,1415,350,1000,7,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2010-041B,37138,2010
Cosmos 2466,Russia,-3.435973,55.378052,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19079,19175,0.00188,64.84,675.61,1415,1533,1000,7,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2010-041A,37137,2010
Cosmos 2474,Russia,-3.435973,55.378052,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19126,19158,0.000627,64.82,676.2,1415,1533,1000,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2,2011-055A,37829,2011
Cosmos 2476,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19142,19204,0.00121,64.8,677.46,1415,1533,1000,7,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2011-064A,37867,2011
Cosmos 2477,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19150,19199,0.000959,64.8,677.5,1415,1533,1000,7,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2011-064B,37868,2011
Cosmos 2475,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19139,19212,0.00143,64.78,677.54,1415,1533,1000,7,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2011-064C,37869,2011
Cosmos 2478,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19130,19162,0.000627,64.82,676.38,1415,1533,1000,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2,2011-071A,37938,2011
Cosmos 2485,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19087,19173,0.00169,64.77,675.73,1415,1533,1000,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2,2013-019A,39155,2013
Cosmos 2514,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19106,19154,0.000941,64.8,675.75,1415,1533,1000,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2016-008A,41330,2016
Cosmos 2516,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19094,19153,0.00116,64.8,675.49,1415,1533,1000,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2016-032A,41554,2016
Cosmos 2491,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19084,19177,0.00182,64.81,675.74,1415,1533,1000,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2014-012A,39620,2014
Cosmos 2500,Russia,-95.712891,37.09024,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19114,19146,0.000627,64.77,675.73,1415,1533,1000,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2014-032A,40001,2014
Koreasat 5,South Korea,,,KT Corporation/Korean Agency for Defense Development (ADD),South Korea,Military/Commercial,Communications,Radar Imaging,GEO,Polar,113.08,35780,35792,0.000142,0.02,1436.1,4450,15,1400,5,Alcatel Alenia Space,France,Sea Launch (Odyssey),Zenit 3SL,2006-034A,29349,2006
USA 262,USA,,,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,Meteorology,MEO,Non-Polar Inclined,0,20446,20459,0.000242,54.9,728.96,1630,467,1136,12,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2015-033A,40730,2015
USA 239,USA,,,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,Meteorology,MEO,Non-Polar Inclined,0,20174,20191,0.00032,54.95,718,1630,467,1136,10,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2012-053A,38833,2012
USA 242,USA,,,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,Meteorology,MEO,Non-Polar Inclined,0,20184,20247,0.00118,55.09,719.32,1630,467,1136,10,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2013-023A,39166,2013
USA 248,USA,,,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,Meteorology,MEO,Non-Polar Inclined,0,20457,20469,0.000224,54.98,729.39,1630,467,1136,10,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2014-008A,39533,2014
USA 251,USA,,,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,Meteorology,MEO,Non-Polar Inclined,0,20174,20188,0.000264,55.05,717.92,1630,467,1136,10,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2014-026A,39741,2014
USA 256,USA,,,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,Meteorology,MEO,Non-Polar Inclined,0,20471,20476,9.31E-05,54.92,729,1630,467,1136,10,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2014-045A,40105,2014
USA 258,USA,,,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,Meteorology,MEO,Non-Polar Inclined,0,20155,20211,0.00105,54.97,718.02,1630,467,1136,10,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2014-068A,40294,2014
USA 260,USA,,,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,Meteorology,MEO,Non-Polar Inclined,0,20445,20469,0.000447,55,729.14,1630,467,1136,12,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4M,2015-013A,40534,2015
USA 175,USA,,,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,Meteorology,MEO,Non-Polar Inclined,0,19963,20327,0.00686,55.1,716.47,2217,980,1136,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2003-058A,28129,2003
USA 177,USA,,,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,20089,20276,0.00352,55,717.98,2217,980,1136,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2004-009A,28190,2004
USA 178,USA,,,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,20072,20292,0.00414,55.37,717.96,2217,980,1136,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2004-023A,28361,2004
USA 180,USA,,,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,Earth Science/Meterology,MEO,Non-Polar Inclined,0,19938,20426,0.00919,54.8,718,2217,980,1136,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2004-045A,28474,2004
